É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2015/06/12 11:53:37

,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR,à¢ëhéR
2014/1/16,-3.0,8,1,3.0,8,1,-7.0,8,1,0,1,8,1,0,1,8,1,9.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,2.7,8,1,6.1,8,ñkìå,8,1,7.7,8,ñkñkìå,8,1,ñkñkìå,8,1,3.7,8,1,78,8,1,32,8,1,890.7,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/17,-3.1,8,1,0.1,8,1,-5.1,8,1,0.0,0,8,1,0.0,0,8,1,2.7,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.1,8,1,7.1,8,ñkñkêº,8,1,10.1,8,ñkñkêº,8,1,ñk,8,1,4.1,8,1,84,8,1,64,8,1,888.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/18,-3.7,8,1,-0.6,8,1,-5.2,8,1,0.0,0,8,1,0.0,0,8,1,1.4,0,8,1,,0,1,2,0,8,1,3,0,8,1,5.8,8,1,8.8,8,êºñkêº,8,1,14.3,8,ñkêº,8,1,ñkêº,8,1,4.3,8,1,92,8,1,69,8,1,887.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/19,-3.5,8,1,1.3,8,1,-7.0,8,1,0.0,0,8,1,0.0,0,8,1,5.5,0,8,1,,0,1,2,0,8,1,0,1,8,1,5.2,8,1,10.2,8,ñkñkìå,8,1,13.1,8,ñk,8,1,ñk,8,1,3.8,8,1,82,8,1,59,8,1,891.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/20,0.1,8,1,3.7,8,1,-3.5,8,1,6.0,0,8,1,3.0,0,8,1,0.2,0,8,1,,0,1,1,0,8,1,1,0,8,1,7.1,8,1,12.6,8,ìÏêº,8,1,24.0,8,ìÏìÏêº,8,1,ìÏìÏêº,8,1,5.4,8,1,86,8,1,24,8,1,887.3,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/21,-5.3,8,1,-2.5,8,1,-7.4,8,1,0.0,0,8,1,0.0,0,8,1,0.5,0,8,1,,0,1,2,0,8,1,1,0,8,1,6.7,8,1,9.2,8,êºñkêº,8,1,15.8,8,êºñkêº,8,1,êºñkêº,8,1,3.8,8,1,92,8,1,78,8,1,884.7,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/22,-4.5,8,1,-0.8,8,1,-7.7,8,1,0.0,0,8,1,0.0,0,8,1,2.4,0,8,1,,0,1,3,0,8,1,1,0,8,1,3.7,8,1,7.3,8,ñkêº,8,1,10.8,8,ñkñkêº,8,1,ñk,8,1,4.1,8,1,93,8,1,80,8,1,888.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/23,-0.3,8,1,4.9,8,1,-6.9,8,1,0,1,8,1,0,1,8,1,9.2,0,8,1,,0,1,1,0,8,1,0,1,8,1,2.2,8,1,3.8,8,êºñkêº,8,1,5.5,8,êº,8,1,ñk,8,1,2.1,8,1,38,8,1,15,8,1,891.3,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/24,2.9,8,1,5.9,8,1,-0.1,8,1,0,1,8,1,0,1,8,1,9.2,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.7,8,1,7.8,8,ìÏêº,8,1,11.7,8,ìÏêº,8,1,ìÏêº,8,1,3.9,8,1,51,8,1,14,8,1,891.5,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/25,6.0,8,1,7.9,8,1,2.2,8,1,7.5,0,8,1,3.0,0,8,1,0.2,0,8,1,,0,1,1,0,8,1,1,0,8,1,7.3,8,1,11.6,8,êºìÏêº,8,1,23.4,8,ìÏìÏêº,8,1,ìÏêº,8,1,8.3,8,1,89,8,1,71,8,1,888.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/26,0.9,8,1,6.9,8,1,-5.2,8,1,0.0,0,8,1,0.0,0,8,1,5.3,0,8,1,,0,1,0,1,8,1,0,1,8,1,7.0,8,1,10.3,8,ñkñkìå,8,1,16.9,8,êº,8,1,ñkñkìå,8,1,5.8,8,1,86,8,1,49,8,1,887.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/27,0.3,8,1,4.7,8,1,-5.9,8,1,0,1,8,1,0,1,8,1,9.3,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.9,8,1,11.6,8,ìåñkìå,8,1,15.2,8,ìåñkìå,8,1,êºìÏêº,8,1,3.1,8,1,49,8,1,15,8,1,890.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/28,2.3,8,1,4.7,8,1,-0.6,8,1,0.0,0,8,1,0.0,0,8,1,0.6,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.8,8,1,8.8,8,ìÏêº,8,1,17.9,8,ìÏêº,8,1,ìÏêº,8,1,6.6,8,1,91,8,1,74,8,1,890.5,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/29,5.7,8,1,10.6,8,1,0.2,8,1,0.0,0,8,1,0.0,0,8,1,9.3,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.0,8,1,6.7,8,ñkìå,8,1,9.8,8,ìÏìÏìå,8,1,ìÏ,8,1,3.0,8,1,35,8,1,9,8,1,890.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/30,6.3,8,1,7.2,8,1,4.8,8,1,22.5,0,8,1,8.5,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.9,8,1,10.4,8,ìÏêº,8,1,26.0,8,ìÏìÏêº,8,1,ìÏêº,8,1,9.3,8,1,98,8,1,79,8,1,886.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/1/31,6.9,8,1,11.4,8,1,0.5,8,1,0.0,0,8,1,0.0,0,8,1,9.5,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.7,8,1,7.6,8,êº,8,1,12.7,8,êº,8,1,êºñkêº,8,1,4.3,8,1,48,8,1,16,8,1,891.1,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/1,8.0,8,1,11.2,8,1,5.2,8,1,8.0,0,8,1,4.5,0,8,1,6.3,0,8,1,,0,1,0,1,8,1,0,1,8,1,5.4,8,1,8.8,8,ìÏêº,8,1,15.7,8,ìÏìÏêº,8,1,ìÏìÏêº,8,1,7.2,8,1,66,8,1,35,8,1,889.1,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/2,10.6,8,1,13.8,8,1,7.8,8,1,28.5,0,8,1,12.5,0,8,1,5.5,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.1,8,1,8.4,8,êº,8,1,17.7,8,êº,8,1,êº,8,1,11.0,8,1,87,8,1,60,8,1,882.5,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/3,7.6,8,1,12.3,8,1,2.4,8,1,1.0,0,8,1,1.0,0,8,1,0.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.8,8,1,8.7,8,ìÏêº,8,1,16.0,8,ìÏêº,8,1,êºìÏêº,8,1,10.1,8,1,96,8,1,60,8,1,879.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/4,-4.3,8,1,2.7,8,1,-7.6,8,1,0.0,0,8,1,0.0,0,8,1,2.1,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.8,8,1,10.3,8,ñk,8,1,14.7,8,ñk,8,1,ñkêº,8,1,4.1,8,1,90,8,1,72,8,1,881.1,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/5,-4.8,8,1,-1.7,8,1,-7.7,8,1,0,1,8,1,0,1,8,1,3.3,0,8,1,,0,1,0,1,8,1,0,1,8,1,4.8,8,1,9.2,8,ñk,8,1,13.0,8,ñkìå,8,1,ñkñkìå,8,1,3.5,8,1,81,8,1,66,8,1,887.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/6,-1.3,8,1,1.0,8,1,-4.2,8,1,6.5,0,8,1,1.5,0,8,1,0.0,0,8,1,,0,1,11,0,8,1,11,0,8,1,2.6,8,1,6.3,8,ìÏìå,8,1,11.0,8,ìå,8,1,ñk,8,1,4.9,8,1,87,8,1,51,8,1,886.9,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/7,1.2,8,1,2.1,8,1,0.4,8,1,13.5,0,8,1,2.5,0,8,1,0.0,0,8,1,,0,1,9,0,8,1,0,1,8,1,7.3,8,1,10.3,8,ìÏìå,8,1,17.1,8,ìÏìå,8,1,ìÏìå,8,1,6.4,8,1,96,8,1,94,8,1,881.5,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/8,-0.7,8,1,3.0,8,1,-3.3,8,1,14.0,0,8,1,5.0,0,8,1,1.8,0,8,1,,0,1,0,1,8,1,0,1,8,1,6.3,8,1,10.8,8,ñkñkìå,8,1,15.4,8,ñkñkìå,8,1,ñk,8,1,5.7,8,1,97,8,1,92,8,1,877.9,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/9,-1.5,8,1,2.3,8,1,-4.5,8,1,0.0,0,8,1,0.0,0,8,1,2.0,0,8,1,,0,1,0,1,8,1,0,1,8,1,3.1,8,1,6.6,8,ñkñkêº,8,1,11.3,8,ñkñkêº,8,1,ñkñkìå,8,1,5.0,8,1,91,8,1,79,8,1,881.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/10,-3.0,8,1,-0.7,8,1,-6.5,8,1,3.5,0,8,1,1.0,0,8,1,0.0,0,8,1,,0,1,3,0,4,1,3,0,4,1,8.0,8,1,16.1,8,ìåñkìå,8,1,24.5,8,ñkìå,8,1,ñkìå,8,1,4.6,8,1,94,8,1,87,8,1,882.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/11,-6.5,8,1,-4.4,8,1,-8.8,8,1,,,1,1,,,1,1,6.6,0,8,1,,0,1,3,0,8,1,2,0,8,1,10.5,8,1,19.2,8,ìåñkìå,8,1,25.8,8,ìåñkìå,8,1,ñkìå,8,1,3.2,8,1,85,8,1,72,8,1,883.7,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/12,-4.8,8,1,-0.9,8,1,-9.2,8,1,0.0,0,4,1,0.0,0,4,1,9.5,0,8,1,,0,1,1,0,5,1,1,0,4,1,5.2,8,1,8.7,8,ìåñkìå,8,1,12.7,8,ìåñkìå,8,1,ñkñkìå,8,1,3.6,8,1,84,8,1,70,8,1,886.7,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/13,-4.1,8,1,-1.1,8,1,-6.5,8,1,13.0,0,5,1,2.5,0,8,1,0.0,0,8,1,,0,1,7,0,4,1,7,0,4,1,7.0,8,1,15.8,8,ñkìå,8,1,21.1,8,ñkìå,8,1,ñkìå,8,1,4.2,8,1,93,8,1,88,8,1,887.9,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/14,-3.4,8,1,-0.8,8,1,-5.1,8,1,4.0,0,4,1,1.5,0,8,1,0.0,0,8,1,,0,1,,,1,1,,,1,1,11.1,8,1,16.9,8,ìåñkìå,8,1,21.5,8,ìåñkìå,8,1,ñkìå,8,1,4.5,8,1,95,8,1,91,8,1,883.9,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/15,-3.7,8,1,-2.2,8,1,-4.8,8,1,,,1,1,,,1,1,1.6,0,8,1,,0,1,,,1,1,,,1,1,9.5,8,1,12.2,8,ñkñkìå,8,1,18.2,8,ñk,8,1,ñk,8,1,4.6,8,1,98,8,1,94,8,1,885.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/16,-1.2,8,1,3.2,8,1,-5.2,8,1,0,1,4,1,0,1,4,1,8.0,0,8,1,,0,1,,,1,1,,,1,1,4.1,8,1,10.8,8,ñkñkìå,8,1,16.5,8,ñkìå,8,1,ñkìå,8,1,3.2,8,1,59,8,1,24,8,1,891.9,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/17,1.3,8,1,4.8,8,1,-0.5,8,1,10.5,0,8,1,2.5,0,8,1,1.8,0,8,1,,0,1,1,0,4,1,1,0,4,1,3.8,8,1,8.5,8,ñkìå,8,1,14.1,8,ìå,8,1,ìåìÏìå,8,1,4.3,8,1,66,8,1,21,8,1,889.8,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/18,-3.4,8,1,0.2,8,1,-5.4,8,1,5.5,0,4,1,1.5,0,4,1,0.0,0,8,1,,0,1,13,0,4,1,14,0,4,1,8.8,8,1,16.7,8,ñkìå,8,1,22.2,8,ñkìå,8,1,ñkìå,8,1,4.4,8,1,92,8,1,86,8,1,884.2,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/19,-3.3,8,1,-0.4,8,1,-5.9,8,1,0.5,0,4,1,0.5,0,4,1,1.0,0,8,1,,0,1,17,0,4,1,0,1,4,1,8.0,8,1,12.5,8,ñkìå,8,1,16.5,8,ìåñkìå,8,1,ñkìå,8,1,4.1,8,1,85,8,1,61,8,1,884.6,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/20,-3.6,8,1,-0.9,8,1,-6.4,8,1,0,1,4,1,0,1,4,1,8.9,0,8,1,,0,1,11,0,8,1,2,0,8,1,5.1,8,1,8.0,8,ñkñkìå,8,1,11.1,8,ñkñkìå,8,1,ñkñkìå,8,1,4.2,8,1,90,8,1,78,8,1,888.0,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/21,-1.8,8,1,2.4,8,1,-5.0,8,1,0,1,8,1,0,1,8,1,5.1,0,8,1,,0,1,7,0,8,1,1,0,8,1,3.5,8,1,6.0,8,ñkñkêº,8,1,9.4,8,ñk,8,1,êºñkêº,8,1,4.4,8,1,82,8,1,66,8,1,891.9,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
2014/2/22,-0.6,8,1,4.5,8,1,-5.3,8,1,0,1,8,1,0,1,8,1,8.2,0,8,1,,0,1,0,1,8,1,0,1,8,1,1.9,8,1,5.0,8,êº,8,1,8.1,8,êºìÏêº,8,1,ñkñkìå,8,1,4.5,8,1,77,8,1,60,8,1,893.5,8,1,,0,1,,,0,1,,0,1,,8,1,,8,1
